date,OT
2022/11/18 0:00,27
2022/11/18 0:01,218
2022/11/18 0:02,19
2022/11/18 0:03,71
2022/11/18 0:04,129
2022/11/18 0:05,24
2022/11/18 0:06,113
2022/11/18 0:07,162
2022/11/18 0:08,69
2022/11/18 0:09,9
2022/11/18 0:10,94
2022/11/18 0:11,237
2022/11/18 0:12,228
2022/11/18 0:13,152
2022/11/18 0:14,150
2022/11/18 0:15,20
2022/11/18 0:16,142
2022/11/18 0:17,33
2022/11/18 0:18,144
2022/11/18 0:19,37
2022/11/18 0:20,63
2022/11/18 0:21,198
2022/11/18 0:22,244
2022/11/18 0:23,192
2022/11/18 0:24,236
2022/11/18 0:25,170
2022/11/18 0:26,213
2022/11/18 0:27,220
2022/11/18 0:28,86
2022/11/18 0:29,80
2022/11/18 0:30,44
2022/11/18 0:31,80
2022/11/18 0:32,223
2022/11/18 0:33,241
2022/11/18 0:34,213
2022/11/18 0:35,74
2022/11/18 0:36,229
2022/11/18 0:37,56
2022/11/18 0:38,29
2022/11/18 0:39,210
2022/11/18 0:40,214
2022/11/18 0:41,53
2022/11/18 0:42,100
2022/11/18 0:43,97
2022/11/18 0:44,88
2022/11/18 0:45,176
2022/11/18 0:46,87
2022/11/18 0:47,249
2022/11/18 0:48,117
2022/11/18 0:49,190
2022/11/18 0:50,240
2022/11/18 0:51,117
2022/11/18 0:52,206
2022/11/18 0:53,18
2022/11/18 0:54,177
2022/11/18 0:55,119
2022/11/18 0:56,104
2022/11/18 0:57,244
2022/11/18 0:58,101
2022/11/18 0:59,29
2022/11/18 1:00,162
2022/11/18 1:01,218
2022/11/18 1:02,67
2022/11/18 1:03,35
2022/11/18 1:04,185
2022/11/18 1:05,254
2022/11/18 1:06,34
2022/11/18 1:07,38
2022/11/18 1:08,255
2022/11/18 1:09,164
2022/11/18 1:10,37
2022/11/18 1:11,17
2022/11/18 1:12,57
2022/11/18 1:13,249
2022/11/18 1:14,24
2022/11/18 1:15,144
2022/11/18 1:16,32
2022/11/18 1:17,182
2022/11/18 1:18,17
2022/11/18 1:19,84
2022/11/18 1:20,156
2022/11/18 1:21,168
2022/11/18 1:22,77
2022/11/18 1:23,209
2022/11/18 1:24,129
2022/11/18 1:25,92
2022/11/18 1:26,116
2022/11/18 1:27,248
2022/11/18 1:28,186
2022/11/18 1:29,116
2022/11/18 1:30,108
2022/11/18 1:31,103
2022/11/18 1:32,17
2022/11/18 1:33,118
2022/11/18 1:34,110
2022/11/18 1:35,122
2022/11/18 1:36,184
2022/11/18 1:37,82
2022/11/18 1:38,76
2022/11/18 1:39,67
2022/11/18 1:40,144
2022/11/18 1:41,247
2022/11/18 1:42,94
2022/11/18 1:43,203
2022/11/18 1:44,177
2022/11/18 1:45,174
2022/11/18 1:46,209
2022/11/18 1:47,208
2022/11/18 1:48,88
2022/11/18 1:49,246
2022/11/18 1:50,112
2022/11/18 1:51,95
2022/11/18 1:52,179
2022/11/18 1:53,18
2022/11/18 1:54,7
2022/11/18 1:55,154
2022/11/18 1:56,182
2022/11/18 1:57,38
2022/11/18 1:58,32
2022/11/18 1:59,27
2022/11/18 2:00,235
2022/11/18 2:01,44
2022/11/18 2:02,136
2022/11/18 2:03,103
2022/11/18 2:04,108
2022/11/18 2:05,250
2022/11/18 2:06,58
2022/11/18 2:07,11
2022/11/18 2:08,239
2022/11/18 2:09,37
2022/11/18 2:10,225
2022/11/18 2:11,204
2022/11/18 2:12,206
2022/11/18 2:13,81
2022/11/18 2:14,113
2022/11/18 2:15,9
2022/11/18 2:16,214
2022/11/18 2:17,197
2022/11/18 2:18,35
2022/11/18 2:19,191
2022/11/18 2:20,133
2022/11/18 2:21,226
2022/11/18 2:22,140
2022/11/18 2:23,151
2022/11/18 2:24,219
2022/11/18 2:25,50
2022/11/18 2:26,251
2022/11/18 2:27,206
2022/11/18 2:28,208
2022/11/18 2:29,158
2022/11/18 2:30,73
2022/11/18 2:31,85
2022/11/18 2:32,254
2022/11/18 2:33,146
2022/11/18 2:34,200
2022/11/18 2:35,185
2022/11/18 2:36,15
2022/11/18 2:37,234
2022/11/18 2:38,30
2022/11/18 2:39,236
2022/11/18 2:40,45
2022/11/18 2:41,46
2022/11/18 2:42,105
2022/11/18 2:43,145
2022/11/18 2:44,27
2022/11/18 2:45,90
2022/11/18 2:46,119
2022/11/18 2:47,125
2022/11/18 2:48,12
2022/11/18 2:49,143
2022/11/18 2:50,154
2022/11/18 2:51,34
2022/11/18 2:52,85
2022/11/18 2:53,86
2022/11/18 2:54,112
2022/11/18 2:55,131
2022/11/18 2:56,58
2022/11/18 2:57,76
2022/11/18 2:58,208
2022/11/18 2:59,187
2022/11/18 3:00,107
2022/11/18 3:01,166
2022/11/18 3:02,20
2022/11/18 3:03,228
2022/11/18 3:04,233
2022/11/18 3:05,203
2022/11/18 3:06,238
2022/11/18 3:07,252
2022/11/18 3:08,54
2022/11/18 3:09,80
2022/11/18 3:10,246
2022/11/18 3:11,18
2022/11/18 3:12,62
2022/11/18 3:13,226
2022/11/18 3:14,241
2022/11/18 3:15,67
2022/11/18 3:16,221
2022/11/18 3:17,123
2022/11/18 3:18,46
2022/11/18 3:19,242
2022/11/18 3:20,217
2022/11/18 3:21,247
2022/11/18 3:22,223
2022/11/18 3:23,47
2022/11/18 3:24,191
2022/11/18 3:25,79
2022/11/18 3:26,78
2022/11/18 3:27,36
2022/11/18 3:28,108
2022/11/18 3:29,165
2022/11/18 3:30,199
2022/11/18 3:31,187
2022/11/18 3:32,93
2022/11/18 3:33,31
2022/11/18 3:34,39
2022/11/18 3:35,32
2022/11/18 3:36,232
2022/11/18 3:37,0
2022/11/18 3:38,236
2022/11/18 3:39,207
2022/11/18 3:40,239
2022/11/18 3:41,11
2022/11/18 3:42,250
2022/11/18 3:43,96
2022/11/18 3:44,158
2022/11/18 3:45,108
2022/11/18 3:46,133
2022/11/18 3:47,228
2022/11/18 3:48,129
2022/11/18 3:49,163
2022/11/18 3:50,245
2022/11/18 3:51,170
2022/11/18 3:52,181
2022/11/18 3:53,21
2022/11/18 3:54,60
2022/11/18 3:55,144
2022/11/18 3:56,224
2022/11/18 3:57,131
2022/11/18 3:58,105
2022/11/18 3:59,189
2022/11/18 4:00,21
2022/11/18 4:01,9
2022/11/18 4:02,114
2022/11/18 4:03,244
2022/11/18 4:04,222
2022/11/18 4:05,251
2022/11/18 4:06,71
2022/11/18 4:07,3
2022/11/18 4:08,171
2022/11/18 4:09,115
2022/11/18 4:10,24
2022/11/18 4:11,162
2022/11/18 4:12,74
2022/11/18 4:13,53
2022/11/18 4:14,10
2022/11/18 4:15,194
2022/11/18 4:16,148
2022/11/18 4:17,139
2022/11/18 4:18,204
2022/11/18 4:19,145
2022/11/18 4:20,55
2022/11/18 4:21,128
2022/11/18 4:22,154
2022/11/18 4:23,174
2022/11/18 4:24,157
2022/11/18 4:25,169
2022/11/18 4:26,239
2022/11/18 4:27,254
2022/11/18 4:28,224
2022/11/18 4:29,193
2022/11/18 4:30,196
2022/11/18 4:31,145
2022/11/18 4:32,236
2022/11/18 4:33,200
2022/11/18 4:34,187
2022/11/18 4:35,58
2022/11/18 4:36,9
2022/11/18 4:37,117
2022/11/18 4:38,119
2022/11/18 4:39,200
2022/11/18 4:40,74
2022/11/18 4:41,35
2022/11/18 4:42,105
2022/11/18 4:43,80
2022/11/18 4:44,44
2022/11/18 4:45,57
2022/11/18 4:46,56
2022/11/18 4:47,39
2022/11/18 4:48,240
2022/11/18 4:49,180
2022/11/18 4:50,176
2022/11/18 4:51,222
2022/11/18 4:52,97
2022/11/18 4:53,158
2022/11/18 4:54,113
2022/11/18 4:55,110
2022/11/18 4:56,234
2022/11/18 4:57,23
2022/11/18 4:58,247
2022/11/18 4:59,165
2022/11/18 5:00,53
2022/11/18 5:01,76
2022/11/18 5:02,149
2022/11/18 5:03,195
2022/11/18 5:04,158
2022/11/18 5:05,171
2022/11/18 5:06,253
2022/11/18 5:07,107
2022/11/18 5:08,85
2022/11/18 5:09,77
2022/11/18 5:10,141
2022/11/18 5:11,17
2022/11/18 5:12,47
2022/11/18 5:13,172
2022/11/18 5:14,96
2022/11/18 5:15,236
2022/11/18 5:16,215
2022/11/18 5:17,182
2022/11/18 5:18,233
2022/11/18 5:19,83
2022/11/18 5:20,231
2022/11/18 5:21,54
2022/11/18 5:22,6
2022/11/18 5:23,68
2022/11/18 5:24,110
2022/11/18 5:25,222
2022/11/18 5:26,250
2022/11/18 5:27,206
2022/11/18 5:28,215
2022/11/18 5:29,145
2022/11/18 5:30,201
2022/11/18 5:31,7
2022/11/18 5:32,2
2022/11/18 5:33,103
2022/11/18 5:34,113
2022/11/18 5:35,107
2022/11/18 5:36,114
2022/11/18 5:37,101
2022/11/18 5:38,166
2022/11/18 5:39,238
2022/11/18 5:40,27
2022/11/18 5:41,143
2022/11/18 5:42,220
2022/11/18 5:43,89
2022/11/18 5:44,189
2022/11/18 5:45,107
2022/11/18 5:46,101
2022/11/18 5:47,208
2022/11/18 5:48,78
2022/11/18 5:49,178
2022/11/18 5:50,5
2022/11/18 5:51,161
2022/11/18 5:52,168
2022/11/18 5:53,117
2022/11/18 5:54,66
2022/11/18 5:55,179
2022/11/18 5:56,220
2022/11/18 5:57,40
2022/11/18 5:58,52
2022/11/18 5:59,61
2022/11/18 6:00,106
2022/11/18 6:01,182
2022/11/18 6:02,50
2022/11/18 6:03,219
2022/11/18 6:04,187
2022/11/18 6:05,219
2022/11/18 6:06,32
2022/11/18 6:07,17
2022/11/18 6:08,182
2022/11/18 6:09,90
2022/11/18 6:10,231
2022/11/18 6:11,122
2022/11/18 6:12,152
2022/11/18 6:13,113
2022/11/18 6:14,26
2022/11/18 6:15,208
2022/11/18 6:16,127
2022/11/18 6:17,190
2022/11/18 6:18,6
2022/11/18 6:19,27
2022/11/18 6:20,140
2022/11/18 6:21,245
2022/11/18 6:22,138
2022/11/18 6:23,66
2022/11/18 6:24,214
2022/11/18 6:25,169
2022/11/18 6:26,80
2022/11/18 6:27,11
2022/11/18 6:28,196
2022/11/18 6:29,129
2022/11/18 6:30,230
2022/11/18 6:31,116
2022/11/18 6:32,123
2022/11/18 6:33,246
2022/11/18 6:34,3
2022/11/18 6:35,112
2022/11/18 6:36,161
2022/11/18 6:37,217
2022/11/18 6:38,233
2022/11/18 6:39,76
2022/11/18 6:40,208
2022/11/18 6:41,163
2022/11/18 6:42,246
2022/11/18 6:43,94
2022/11/18 6:44,223
2022/11/18 6:45,228
2022/11/18 6:46,174
2022/11/18 6:47,229
2022/11/18 6:48,138
2022/11/18 6:49,45
2022/11/18 6:50,241
2022/11/18 6:51,214
2022/11/18 6:52,0
2022/11/18 6:53,22
2022/11/18 6:54,135
2022/11/18 6:55,100
2022/11/18 6:56,210
2022/11/18 6:57,1
2022/11/18 6:58,162
2022/11/18 6:59,12
2022/11/18 7:00,57
2022/11/18 7:01,95
2022/11/18 7:02,189
2022/11/18 7:03,88
2022/11/18 7:04,112
2022/11/18 7:05,167
2022/11/18 7:06,235
2022/11/18 7:07,95
2022/11/18 7:08,100
2022/11/18 7:09,72
2022/11/18 7:10,129
2022/11/18 7:11,18
2022/11/18 7:12,87
2022/11/18 7:13,155
2022/11/18 7:14,50
2022/11/18 7:15,244
2022/11/18 7:16,170
2022/11/18 7:17,141
2022/11/18 7:18,225
2022/11/18 7:19,59
2022/11/18 7:20,201
2022/11/18 7:21,127
2022/11/18 7:22,0
2022/11/18 7:23,72
2022/11/18 7:24,241
2022/11/18 7:25,152
2022/11/18 7:26,108
2022/11/18 7:27,242
2022/11/18 7:28,97
2022/11/18 7:29,101
2022/11/18 7:30,68
2022/11/18 7:31,179
2022/11/18 7:32,165
2022/11/18 7:33,29
2022/11/18 7:34,216
2022/11/18 7:35,138
2022/11/18 7:36,0
2022/11/18 7:37,86
2022/11/18 7:38,20
2022/11/18 7:39,202
2022/11/18 7:40,194
2022/11/18 7:41,143
2022/11/18 7:42,123
2022/11/18 7:43,27
2022/11/18 7:44,132
2022/11/18 7:45,35
2022/11/18 7:46,242
2022/11/18 7:47,177
2022/11/18 7:48,181
2022/11/18 7:49,54
2022/11/18 7:50,184
2022/11/18 7:51,11
2022/11/18 7:52,227
2022/11/18 7:53,38
2022/11/18 7:54,224
2022/11/18 7:55,78
2022/11/18 7:56,20
2022/11/18 7:57,146
2022/11/18 7:58,148
2022/11/18 7:59,216
2022/11/18 8:00,166
2022/11/18 8:01,181
2022/11/18 8:02,29
2022/11/18 8:03,93
2022/11/18 8:04,160
2022/11/18 8:05,67
2022/11/18 8:06,250
2022/11/18 8:07,241
2022/11/18 8:08,91
2022/11/18 8:09,82
2022/11/18 8:10,1
2022/11/18 8:11,214
2022/11/18 8:12,228
2022/11/18 8:13,113
2022/11/18 8:14,134
2022/11/18 8:15,106
2022/11/18 8:16,148
2022/11/18 8:17,244
2022/11/18 8:18,91
2022/11/18 8:19,12
2022/11/18 8:20,114
2022/11/18 8:21,155
2022/11/18 8:22,230
2022/11/18 8:23,13
2022/11/18 8:24,63
2022/11/18 8:25,187
2022/11/18 8:26,105
2022/11/18 8:27,233
2022/11/18 8:28,174
2022/11/18 8:29,107
2022/11/18 8:30,96
2022/11/18 8:31,12
2022/11/18 8:32,159
2022/11/18 8:33,234
2022/11/18 8:34,231
2022/11/18 8:35,234
2022/11/18 8:36,224
2022/11/18 8:37,107
2022/11/18 8:38,225
2022/11/18 8:39,62
2022/11/18 8:40,111
2022/11/18 8:41,126
2022/11/18 8:42,88
2022/11/18 8:43,160
2022/11/18 8:44,7
2022/11/18 8:45,52
2022/11/18 8:46,25
2022/11/18 8:47,213
2022/11/18 8:48,50
2022/11/18 8:49,80
2022/11/18 8:50,56
2022/11/18 8:51,244
2022/11/18 8:52,173
2022/11/18 8:53,61
2022/11/18 8:54,223
2022/11/18 8:55,231
2022/11/18 8:56,243
2022/11/18 8:57,50
2022/11/18 8:58,129
2022/11/18 8:59,249
2022/11/18 9:00,197
2022/11/18 9:01,11
2022/11/18 9:02,49
2022/11/18 9:03,94
2022/11/18 9:04,82
2022/11/18 9:05,247
2022/11/18 9:06,59
2022/11/18 9:07,41
2022/11/18 9:08,93
2022/11/18 9:09,145
2022/11/18 9:10,66
2022/11/18 9:11,73
2022/11/18 9:12,102
2022/11/18 9:13,139
2022/11/18 9:14,143
2022/11/18 9:15,20
2022/11/18 9:16,136
2022/11/18 9:17,249
2022/11/18 9:18,30
2022/11/18 9:19,39
2022/11/18 9:20,148
