date,OT
2022/8/18 0:01,8
2022/8/18 0:02,93
2022/8/18 0:03,191
2022/8/18 0:04,207
2022/8/18 0:05,47
2022/8/18 0:06,79
2022/8/18 0:07,166
2022/8/18 0:08,68
2022/8/18 0:09,24
2022/8/18 0:10,89
2022/8/18 0:11,122
2022/8/18 0:12,185
2022/8/18 0:13,106
2022/8/18 0:14,176
2022/8/18 0:15,150
2022/8/18 0:16,38
2022/8/18 0:17,122
2022/8/18 0:18,190
2022/8/18 0:19,43
2022/8/18 0:20,0
2022/8/18 0:21,145
2022/8/18 0:22,196
2022/8/18 0:23,37
2022/8/18 0:24,201
2022/8/18 0:25,22
2022/8/18 0:26,87
2022/8/18 0:27,152
2022/8/18 0:28,248
2022/8/18 0:29,80
2022/8/18 0:30,7
2022/8/18 0:31,195
2022/8/18 0:32,30
2022/8/18 0:33,83
2022/8/18 0:34,172
2022/8/18 0:35,136
2022/8/18 0:36,235
2022/8/18 0:37,248
2022/8/18 0:38,233
2022/8/18 0:39,45
2022/8/18 0:40,119
2022/8/18 0:41,236
2022/8/18 0:42,85
2022/8/18 0:43,234
2022/8/18 0:44,45
2022/8/18 0:45,51
2022/8/18 0:46,52
2022/8/18 0:47,199
2022/8/18 0:48,67
2022/8/18 0:49,111
2022/8/18 0:50,139
2022/8/18 0:51,111
2022/8/18 0:52,164
2022/8/18 0:53,242
2022/8/18 0:54,217
2022/8/18 0:55,38
2022/8/18 0:56,222
2022/8/18 0:57,136
2022/8/18 0:58,210
2022/8/18 0:59,201
2022/8/18 1:00,16
2022/8/18 1:01,175
2022/8/18 1:02,152
2022/8/18 1:03,107
2022/8/18 1:04,112
2022/8/18 1:05,205
2022/8/18 1:06,174
2022/8/18 1:07,240
2022/8/18 1:08,74
2022/8/18 1:09,240
2022/8/18 1:10,214
2022/8/18 1:11,35
2022/8/18 1:12,125
2022/8/18 1:13,89
2022/8/18 1:14,138
2022/8/18 1:15,229
2022/8/18 1:16,234
2022/8/18 1:17,158
2022/8/18 1:18,249
2022/8/18 1:19,183
2022/8/18 1:20,78
2022/8/18 1:21,105
2022/8/18 1:22,26
2022/8/18 1:23,0
2022/8/18 1:24,204
2022/8/18 1:25,56
2022/8/18 1:26,19
2022/8/18 1:27,118
2022/8/18 1:28,205
2022/8/18 1:29,87
2022/8/18 1:30,133
2022/8/18 1:31,2
2022/8/18 1:32,191
2022/8/18 1:33,15
2022/8/18 1:34,137
2022/8/18 1:35,189
2022/8/18 1:36,31
2022/8/18 1:37,85
2022/8/18 1:38,102
2022/8/18 1:39,172
2022/8/18 1:40,82
2022/8/18 1:40,165
2022/8/18 1:41,253
2022/8/18 1:42,41
2022/8/18 1:43,14
2022/8/18 1:44,181
2022/8/18 1:45,38
2022/8/18 1:46,46
2022/8/18 1:47,189
2022/8/18 1:48,136
2022/8/18 1:49,26
2022/8/18 1:50,33
2022/8/18 1:51,114
2022/8/18 1:52,122
2022/8/18 1:53,124
2022/8/18 1:54,136
2022/8/18 1:55,4
2022/8/18 1:56,146
2022/8/18 1:57,30
2022/8/18 1:58,146
2022/8/18 1:59,202
2022/8/18 2:00,48
2022/8/18 2:01,15
2022/8/18 2:02,187
2022/8/18 2:03,117
2022/8/18 2:04,218
2022/8/18 2:05,72
2022/8/18 2:06,156
2022/8/18 2:07,88
2022/8/18 2:08,247
2022/8/18 2:09,81
2022/8/18 2:10,152
2022/8/18 2:11,114
2022/8/18 2:12,196
