date,OT
2016/7/1 0:00,210
2016/7/1 0:15,99
2016/7/1 0:30,82
2016/7/1 0:45,18
2016/7/1 1:00,92
2016/7/1 1:15,241
2016/7/1 1:30,94
2016/7/1 1:45,88
2016/7/1 2:00,8
2016/7/1 2:15,227
2016/7/1 2:30,136
2016/7/1 2:45,95
2016/7/1 3:00,101
2016/7/1 3:15,235
2016/7/1 3:30,191
2016/7/1 3:45,200
2016/7/1 4:00,204
2016/7/1 4:15,122
2016/7/1 4:30,207
2016/7/1 4:45,150
2016/7/1 5:00,100
2016/7/1 5:15,195
2016/7/1 5:30,230
2016/7/1 5:45,214
2016/7/1 6:00,210
2016/7/1 6:15,3
2016/7/1 6:30,132
2016/7/1 6:45,252
2016/7/1 7:00,131
2016/7/1 7:15,91
2016/7/1 7:30,139
2016/7/1 7:45,102
2016/7/1 8:00,123
2016/7/1 8:15,97
2016/7/1 8:30,36
2016/7/1 8:45,252
2016/7/1 9:00,58
2016/7/1 9:15,80
2016/7/1 9:30,239
2016/7/1 9:45,163
2016/7/1 10:00,157
2016/7/1 10:15,205
2016/7/1 10:30,203
2016/7/1 10:45,183
2016/7/1 11:00,5
2016/7/1 11:15,191
2016/7/1 11:30,137
2016/7/1 11:45,243
2016/7/1 12:00,68
2016/7/1 12:15,28
2016/7/1 12:30,5
2016/7/1 12:45,29
2016/7/1 13:00,66
2016/7/1 13:15,194
2016/7/1 13:30,178
2016/7/1 13:45,8
2016/7/1 14:00,155
2016/7/1 14:15,228
2016/7/1 14:30,200
2016/7/1 14:45,21
2016/7/1 15:00,55
2016/7/1 15:15,12
2016/7/1 15:30,168
2016/7/1 15:45,16
2016/7/1 16:00,142
2016/7/1 16:15,62
2016/7/1 16:30,154
2016/7/1 16:45,141
2016/7/1 17:00,133
2016/7/1 17:15,78
2016/7/1 17:30,34
2016/7/1 17:45,215
2016/7/1 18:00,215
2016/7/1 18:15,200
2016/7/1 18:30,45
2016/7/1 18:45,74
2016/7/1 19:00,220
2016/7/1 19:15,102
2016/7/1 19:30,163
2016/7/1 19:45,62
2016/7/1 20:00,10
2016/7/1 20:15,151
2016/7/1 20:30,68
2016/7/1 20:45,169
2016/7/1 21:00,176
2016/7/1 21:15,91
2016/7/1 21:30,93
2016/7/1 21:45,155
2016/7/1 22:00,118
2016/7/1 22:15,189
2016/7/1 22:30,10
2016/7/1 22:45,231
2016/7/1 23:00,135
2016/7/1 23:15,63
2016/7/1 23:30,140
2016/7/1 23:45,250
2016/7/2 0:00,57
2016/7/2 0:15,159
2016/7/2 0:30,231
2016/7/2 0:45,203
2016/7/2 1:00,171
2016/7/2 1:15,85
2016/7/2 1:30,248
2016/7/2 1:45,139
2016/7/2 2:00,179
2016/7/2 2:15,214
2016/7/2 2:30,32
2016/7/2 2:45,245
2016/7/2 3:00,16
2016/7/2 3:15,39
2016/7/2 3:30,164
2016/7/2 3:45,65
2016/7/2 4:00,142
2016/7/2 4:15,111
2016/7/2 4:30,52
2016/7/2 4:45,10
2016/7/2 5:00,167
2016/7/2 5:15,48
2016/7/2 5:30,148
2016/7/2 5:45,149
2016/7/2 6:00,31
2016/7/2 6:15,140
2016/7/2 6:30,99
2016/7/2 6:45,5
2016/7/2 7:00,171
2016/7/2 7:15,219
2016/7/2 7:30,165
2016/7/2 7:45,81
2016/7/2 8:00,87
2016/7/2 8:15,193
2016/7/2 8:30,59
2016/7/2 8:45,177
2016/7/2 9:00,59
2016/7/2 9:15,189
2016/7/2 9:30,147
2016/7/2 9:45,50
2016/7/2 10:00,116
2016/7/2 10:15,205
2016/7/2 10:30,155
2016/7/2 10:45,130
2016/7/2 11:00,238
2016/7/2 11:15,20
2016/7/2 11:30,221
2016/7/2 11:45,197
2016/7/2 12:00,78
2016/7/2 12:15,131
2016/7/2 12:30,221
2016/7/2 12:45,91
2016/7/2 13:00,198
2016/7/2 13:15,193
2016/7/2 13:30,144
2016/7/2 13:45,136
2016/7/2 14:00,120
2016/7/2 14:15,229
2016/7/2 14:30,145
2016/7/2 14:45,191
2016/7/2 15:00,65
2016/7/2 15:15,45
2016/7/2 15:30,115
2016/7/2 15:45,99
2016/7/2 16:00,138
2016/7/2 16:15,69
2016/7/2 16:30,252
2016/7/2 16:45,105
2016/7/2 17:00,39
2016/7/2 17:15,171
2016/7/2 17:30,195
2016/7/2 17:45,230
2016/7/2 18:00,203
2016/7/2 18:15,112
2016/7/2 18:30,37
2016/7/2 18:45,122
2016/7/2 19:00,127
2016/7/2 19:15,197
2016/7/2 19:30,81
2016/7/2 19:45,17
2016/7/2 20:00,61
2016/7/2 20:15,244
2016/7/2 20:30,43
2016/7/2 20:45,68
2016/7/2 21:00,18
2016/7/2 21:15,36
2016/7/2 21:30,218
2016/7/2 21:45,243
2016/7/2 22:00,10
2016/7/2 22:15,86
2016/7/2 22:30,243
2016/7/2 22:45,199
2016/7/2 23:00,251
2016/7/2 23:15,51
2016/7/2 23:30,21
2016/7/2 23:45,176
2016/7/3 0:00,47
2016/7/3 0:15,98
2016/7/3 0:30,69
2016/7/3 0:45,11
2016/7/3 1:00,186
2016/7/3 1:15,144
2016/7/3 1:30,7
2016/7/3 1:45,151
2016/7/3 2:00,115
2016/7/3 2:15,37
2016/7/3 2:30,248
2016/7/3 2:45,206
2016/7/3 3:00,133
2016/7/3 3:15,47
2016/7/3 3:30,177
2016/7/3 3:45,95
2016/7/3 4:00,22
2016/7/3 4:15,161
2016/7/3 4:30,188
2016/7/3 4:45,125
2016/7/3 5:00,147
2016/7/3 5:15,50
2016/7/3 5:30,56
2016/7/3 5:45,38
2016/7/3 6:00,193
2016/7/3 6:15,59
2016/7/3 6:30,194
2016/7/3 6:45,228
2016/7/3 7:00,18
2016/7/3 7:15,38
2016/7/3 7:30,221
2016/7/3 7:45,234
2016/7/3 8:00,226
2016/7/3 8:15,30
2016/7/3 8:30,71
2016/7/3 8:45,49
2016/7/3 9:00,132
2016/7/3 9:15,152
2016/7/3 9:30,160
2016/7/3 9:45,103
2016/7/3 10:00,22
2016/7/3 10:15,232
2016/7/3 10:30,70
2016/7/3 10:45,78
2016/7/3 11:00,22
2016/7/3 11:15,70
2016/7/3 11:30,210
2016/7/3 11:45,171
2016/7/3 12:00,68
2016/7/3 12:15,221
2016/7/3 12:30,13
2016/7/3 12:45,88
2016/7/3 13:00,184
